TC_LOAD_001 | Passed | Load Baseline Response Latency - Home page HTML response latency SLA check (< 200ms) - Scenario #1
TC_LOAD_252 | Passed | Load Endurance & Memory Leak Check - Auth login POST API SLA latency check (< 300ms) - Scenario #252
TC_LOAD_253 | Passed | Load Endurance & Memory Leak Check - RAG vector database search query latency (< 500ms) - Scenario #253
TC_LOAD_254 | Passed | Load Endurance & Memory Leak Check - Legal document upload processing throughput benchmark - Scenario #254
TC_LOAD_255 | Passed | Load Endurance & Memory Leak Check - Client Vault file retrieval response time under 100 req/s - Scenario #255
TC_LOAD_256 | Passed | Load Endurance & Memory Leak Check - Moot Court voice WebSocket audio stream latency (< 50ms) - Scenario #256
TC_LOAD_257 | Passed | Load Endurance & Memory Leak Check - Search auto-complete endpoint latency under load - Scenario #257
TC_LOAD_258 | Passed | Load Endurance & Memory Leak Check - Case management list pagination query latency SLA - Scenario #258
TC_LOAD_259 | Passed | Load Endurance & Memory Leak Check - PDF document summary AI inference response time SLA - Scenario #259
TC_LOAD_260 | Passed | Load Endurance & Memory Leak Check - PDF OCR text extractor queue latency under load - Scenario #260
TC_LOAD_261 | Passed | Load Endurance & Memory Leak Check - 100 concurrent advocate users ramp-up test over 2 minutes - Scenario #261
TC_LOAD_262 | Passed | Load Endurance & Memory Leak Check - 250 concurrent junior associate login ramp-up scenario - Scenario #262
TC_LOAD_263 | Passed | Load Endurance & Memory Leak Check - 500 concurrent corporate client vault uploads ramp-up - Scenario #263
TC_LOAD_264 | Passed | Load Endurance & Memory Leak Check - 1,000 concurrent active session WebSocket connection test - Scenario #264
TC_LOAD_265 | Passed | Load Endurance & Memory Leak Check - 2,500 simultaneous legal precedent search queries load - Scenario #265
TC_LOAD_266 | Passed | Load Endurance & Memory Leak Check - 5,000 requests/minute peak traffic throughput benchmark - Scenario #266
TC_LOAD_267 | Passed | Load Endurance & Memory Leak Check - 10,000 requests/minute sustained load endurance test - Scenario #267
TC_LOAD_268 | Passed | Load Endurance & Memory Leak Check - Sudden 5x traffic spike handling during court verdict news - Scenario #268
TC_LOAD_269 | Passed | Load Endurance & Memory Leak Check - Database connection pool exhaustion threshold test (200 pool max) - Scenario #269
TC_LOAD_270 | Passed | Load Endurance & Memory Leak Check - PostgreSQL query execution plan latency under load - Scenario #270
TC_LOAD_271 | Passed | Load Endurance & Memory Leak Check - Redis cache hit ratio verification during peak traffic (> 95%) - Scenario #271
TC_LOAD_272 | Passed | Load Endurance & Memory Leak Check - Nginx load balancer round-robin distribution balance check - Scenario #272
TC_LOAD_273 | Passed | Load Endurance & Memory Leak Check - CPU utilization threshold check during AI document parsing (< 75%) - Scenario #273
TC_LOAD_274 | Passed | Load Endurance & Memory Leak Check - RAM memory heap usage leak check over 12-hour load run - Scenario #274
TC_LOAD_275 | Passed | Load Endurance & Memory Leak Check - Node.js event loop lag latency measurement under load (< 10ms) - Scenario #275
TC_LOAD_276 | Passed | Load Endurance & Memory Leak Check - Garbage collection pause duration impact on API SLA - Scenario #276
TC_LOAD_277 | Passed | Load Endurance & Memory Leak Check - Microservice network inter-service RPC latency check - Scenario #277
TC_LOAD_278 | Passed | Load Endurance & Memory Leak Check - S3 bucket document upload throughput bandwidth check - Scenario #278
TC_LOAD_279 | Passed | Load Endurance & Memory Leak Check - CDN edge node static asset delivery latency (< 30ms) - Scenario #279
TC_LOAD_280 | Passed | Load Endurance & Memory Leak Check - Database write lock contention during concurrent case updates - Scenario #280
TC_LOAD_281 | Passed | Load Endurance & Memory Leak Check - Legal search index re-indexing background task impact SLA - Scenario #281
TC_LOAD_282 | Passed | Load Endurance & Memory Leak Check - Background push notification queue throughput (1k msg/sec) - Scenario #282
TC_LOAD_283 | Passed | Load Endurance & Memory Leak Check - Bulk client billing PDF generation queue execution time - Scenario #283
TC_LOAD_284 | Passed | Load Endurance & Memory Leak Check - Payment gateway webhook listener processing SLA under load - Scenario #284
TC_LOAD_285 | Passed | Load Endurance & Memory Leak Check - Session storage Redis cluster failover latency recovery - Scenario #285
TC_LOAD_286 | Passed | Load Endurance & Memory Leak Check - API gateway rate limiting CPU overhead evaluation - Scenario #286
TC_LOAD_287 | Passed | Load Endurance & Memory Leak Check - Gzip/Brotli compression bandwidth savings under load - Scenario #287
TC_LOAD_288 | Passed | Load Endurance & Memory Leak Check - HTTP/2 multiplexed stream concurrency performance check - Scenario #288
TC_LOAD_289 | Passed | Load Endurance & Memory Leak Check - Worker thread pool queue latency under heavy OCR tasks - Scenario #289
TC_LOAD_290 | Passed | Load Endurance & Memory Leak Check - Cold start container auto-scaling latency check (< 2 sec) - Scenario #290
TC_LOAD_291 | Passed | Load Endurance & Memory Leak Check - Database read replica query load balancing distribution - Scenario #291
TC_LOAD_292 | Passed | Load Endurance & Memory Leak Check - Vector DB HNSW index search throughput under 1k QPS - Scenario #292
TC_LOAD_293 | Passed | Load Endurance & Memory Leak Check - Legal text embedding batch processing time SLA - Scenario #293
TC_LOAD_294 | Passed | Load Endurance & Memory Leak Check - Client audit trail log append latency under peak throughput - Scenario #294
TC_LOAD_295 | Passed | Load Endurance & Memory Leak Check - Websocket heartbeat ping-pong latency under 5,000 clients - Scenario #295
TC_LOAD_296 | Passed | Load Endurance & Memory Leak Check - SSL/TLS handshake latency overhead benchmark (< 15ms) - Scenario #296
TC_LOAD_297 | Passed | Load Endurance & Memory Leak Check - Browser client-side DOM render FPS performance under 60fps - Scenario #297
TC_LOAD_298 | Passed | Load Endurance & Memory Leak Check - Mobile app API payload payload size payload optimization - Scenario #298
TC_LOAD_299 | Passed | Load Endurance & Memory Leak Check - Continuous 24-hour endurance test for zero memory leaks - Scenario #299
TC_LOAD_300 | Passed | Load Endurance & Memory Leak Check - Graceful degradation mode fallback under 99% CPU load - Scenario #300
